mp_id,formula,sites,composition,a_edge (angstrom),b_edge (angstrom),c_edge (angstrom),alpha_ang (deg),beta_ang (deg),gamma_ang (deg),crystal_system,space_group,total_magnetisation (bohr),energy_per_atom (eV/atom),formation_energy (eV/atom),energy_above_hull (eV/atom),stable,density (g/cc),band_gap (eV),direct_bandgap,volume (cubic-angstrom),bulk_modulus (GPa),shear_modulus (GPa)
mp-1183115,AcAlO3,5,Ac1 Al1 O3,3.85863387,3.85863387,3.85863387,90,90,90,cubic,Pm-3m,0,-8.232146192,-3.690019421,0,TRUE,8.728230082,4.1024,TRUE,57.45141324,,
mp-1183052,AcBO3,5,Ac1 B1 O3,3.721668,3.721668,3.721668,90,90,90,cubic,Pm-3m,0.0001327,-7.604279514,-2.475389555,0.792472745,FALSE,9.206878606,0.8071,FALSE,51.54812641,,
mp-866101,AcCrO3,5,Ac1 Cr1 O3,3.9442869,3.94430226,3.9442715,90,90,90,cubic,Pm-3m,2.9999997,-8.862593228,-3.13897213,0,TRUE,8.848788047,2.0031,FALSE,61.36284504,,
mp-864606,AcCuO3,5,Ac1 Cu1 O3,3.91333125,3.91333125,3.91333125,90,90,90,cubic,Pm-3m,1.60E-06,-7.035745362,-2.422892424,0,TRUE,9.380470938,0,FALSE,59.92938666,"{'voigt': 163.571, 'reuss': 163.571, 'vrh': 163.571}","{'voigt': 81.813, 'reuss': 81.632, 'vrh': 81.723}"
mp-861502,AcFeO3,5,Ac1 Fe1 O3,3.95356962,3.9535675,3.95358451,90.00009246,90,90,cubic,Pm-3m,4.2542759,-8.258555312,-2.771539466,0,TRUE,8.889999466,0.9888,FALSE,61.79731063,,
mp-1183053,AcGaO3,5,Ac1 Ga1 O3,3.94626209,3.94626209,3.94626209,90,90,90,cubic,Pm-3m,0,-7.461883426,-3.063252617,0,TRUE,9.314495003,2.8959,FALSE,61.45507829,,
mp-1183142,AcMgO3,5,Ac1 Mg1 O3,4.016262,4.016262,4.016262,90,90,90,cubic,Pm-3m,1.0000029,-7.120950934,-3.001845327,0.082312486,FALSE,7.671748359,0,FALSE,64.78375373,,
mp-864911,AcMnO3,5,Ac1 Mn1 O3,3.96302168,3.96302168,3.96302168,90,90,90,cubic,Pm-3m,3.9999934,-8.599044686,-2.973630023,0,TRUE,8.802373253,0,FALSE,62.24139883,,
mp-1183139,AcNiO3,5,Ac1 Ni1 O3,3.87883955,3.87883649,3.87881202,90,90,90,cubic,Pm-3m,2.60E-06,-7.404515516,-2.455476575,0,TRUE,9.494942767,0,FALSE,58.3582178,,
mp-1183145,AcPdO3,5,Ac1 Pd1 O3,4.05520794,4.05520691,4.05520589,90,90,90,cubic,Pm-3m,1.89E-05,-7.065943372,-2.236955405,0.008102041,FALSE,9.497547055,0,FALSE,66.68667374,,
mp-1183152,AcScO3,5,Ac1 Sc1 O3,4.125046,4.125046,4.125046,90,90,90,cubic,Pm-3m,7.43E-05,-8.888565856,-3.82906043,0.024140035,FALSE,7.569207409,3.3847,TRUE,70.19180131,,
mp-1183150,AcSiO3,5,Ac1 Si1 O3,3.970175,3.970175,3.970175,90,90,90,cubic,Pm-3m,0.000274,-7.746321594,-2.868246384,0.473361866,FALSE,8.042345508,0,FALSE,62.57904784,,
mp-865927,AcTiO3,5,Ac1 Ti1 O3,3.99582001,3.99582001,3.99582001,90,90,90,cubic,Pm-3m,0.1609683,-8.979745746,-3.607635738,0,TRUE,8.403352518,0,FALSE,63.79957007,"{'voigt': 179.412, 'reuss': 179.412, 'vrh': 179.412}","{'voigt': 80.17, 'reuss': 73.87, 'vrh': 77.02}"
mp-1183168,AcVO3,5,Ac1 V1 O3,3.96789433,3.96789746,3.96789433,90,90,90,cubic,Pm-3m,2.0000001,-8.750861914,-3.141069096,0,TRUE,8.66374623,0,FALSE,62.47131331,,
mp-1105645,Ag3SBr,20,Ag3 S1 Br1,6.992429543,6.992429543,9.917093,90,90,91.0507128,ortho,Cmcm,0.0033129,-3.166347569,-0.305523741,0.098312406,FALSE,5.96764643,0.2964,FALSE,484.8055176,,
mp-1229116,Ag3SBr,5,Ag3 S1 Br1,4.921708553,4.980664015,4.825298,90,90,93.27696025,mono,Pm,4.85E-05,-3.200961334,-0.340137506,0.063698641,FALSE,6.124830462,0.3987,FALSE,118.0909388,,
mp-36600,Ag3SBr,10,Ag3 S1 Br1,6.978889373,6.905923242,6.864160667,60.90296584,59.84408842,59.25294575,ortho,Fmm2,0.0005966,-3.196363589,-0.335539761,0.068296386,FALSE,6.18651342,0.3977,FALSE,233.8270137,,
mp-1173025,Ag3SI,10,Ag3 S1 I1,7.115597778,7.032828703,6.990995493,60.97987425,59.80033117,59.21979458,ortho,Fmm2,0.000498,-3.078653433,-0.240416389,0.086675302,FALSE,6.481742236,0.3398,FALSE,247.2585507,,
mp-22995,Ag3SI,5,Ag3 S1 I1,4.95772377,4.95772377,4.957723388,89.9093587,89.9093587,89.9093568,trig,R3,4.14E-05,-3.098510538,-0.260273494,0.066818197,FALSE,6.576090262,0.5478,FALSE,121.85555,,
mp-558189,Ag3SI,5,Ag3 S1 I1,5.009586,5.009586,5.009586,90,90,90,cubic,Pm-3m,3.08E-05,-3.04893323,-0.210696186,0.116395505,FALSE,6.373934117,0.6243,FALSE,125.7203293,"{'voigt': 44.61, 'reuss': 44.61, 'vrh': 44.61}","{'voigt': 8.967, 'reuss': 4.108, 'vrh': 6.537}"
mp-632480,Ag3SI,5,Ag3 S1 I1,4.892054,4.925177547,5.12078399,89.94357745,89.40346588,88.71918978,tri,P1,9.51E-05,-3.091646502,-0.253409458,0.073682233,FALSE,6.496742794,0.1676,FALSE,123.3438234,,
mp-673825,Ag3SI,10,Ag3 S1 I1,10.15182148,7.09353404,7.010985412,58.88260302,43.45932273,44.64430486,tri,P1,0.0009483,-3.080563733,-0.242326689,0.084765002,FALSE,6.567474043,0.257,FALSE,244.0308376,,
mp-674981,Ag3SI,5,Ag3 S1 I1,4.876098,5.020287,5.059902651,87.61947899,90,90,mono,Pm,0.0002521,-3.08810371,-0.249866666,0.077225025,FALSE,6.475076465,0.2624,FALSE,123.7565456,,
